file_hash	file_count	total_disk_usage_value	total_disk_usage_unit	total_disk_usage	single_disk_usage_value	single_disk_usage_unit	single_disk_usage	filepaths	date	path	username	file	ext	filename
5c541baea62af9c586cac4daff556e85#b9d34cec10ac0784d6618e9a3968c4f1	2	89.77	GiB	89.77 GiB	44.89	GiB	44.89 GiB	/data/CCBR/transfer/CCBR_1171_Copy/SCAF2104_D0_on_D16/outs/possorted_genome_bam.bam;/data/CCBR/transfer/CCBR_1171_GEO_out/D0_on_D16_possorted_genome_bam.bam	2023-10-09	_data_CCBR	bianjh	grubbers	tsv	/mnt/data/20231009/20231009._data_CCBR.bianjh.grubbers.tsv
0a92078e1b3c7afb99ab30821f5f9f3a#42c877cc60bcd0cbc0d439ae9f3b5425	2	77.31	GiB	77.31 GiB	38.66	GiB	38.66 GiB	/data/CCBR/transfer/CCBR_1171_Copy/SCAF2105_D5_on_D21/outs/possorted_genome_bam.bam;/data/CCBR/transfer/CCBR_1171_GEO_out/D5_on_D21_possorted_genome_bam.bam	2023-10-09	_data_CCBR	bianjh	grubbers	tsv	/mnt/data/20231009/20231009._data_CCBR.bianjh.grubbers.tsv
b67ae4758dd158fe14ca4e2233908218#76fe3d1783439a5f0bd398dcf078b6d8	2	44.64	GiB	44.64 GiB	22.32	GiB	22.32 GiB	/data/CCBR/transfer/CCBR_1171_Copy/SCAF2120_D0_on_D3_2/outs/possorted_genome_bam.bam;/data/CCBR/transfer/CCBR_1171_GEO_out/D0_on_D3_2_possorted_genome_bam.bam	2023-10-09	_data_CCBR	bianjh	grubbers	tsv	/mnt/data/20231009/20231009._data_CCBR.bianjh.grubbers.tsv
c587e1310d8188f6cf37a844c3d2d222#4cb790154243d0db58022795bf5d59b8	2	43.09	GiB	43.09 GiB	21.54	GiB	21.54 GiB	/data/CCBR/transfer/CCBR_1171_Copy/SCAF2154_D5_on_D21_2/outs/possorted_genome_bam.bam;/data/CCBR/transfer/CCBR_1171_GEO_out/D5_on_D21_2_possorted_genome_bam.bam	2023-10-09	_data_CCBR	bianjh	grubbers	tsv	/mnt/data/20231009/20231009._data_CCBR.bianjh.grubbers.tsv
828f72d35fe3a91ffa697864a1b304c6#8678ea5a12c26e43a14c1521c32fac76	2	39.4	GiB	39.40 GiB	19.7	GiB	19.70 GiB	/data/CCBR/transfer/CCBR_1171_Copy/SCAF2099_D5_on_D13/outs/possorted_genome_bam.bam;/data/CCBR/transfer/CCBR_1171_GEO_out/D5_on_D13_possorted_genome_bam.bam	2023-10-09	_data_CCBR	bianjh	grubbers	tsv	/mnt/data/20231009/20231009._data_CCBR.bianjh.grubbers.tsv
e75af7dcde0f6533a8b8013b058148a8#17d3875671946b3664a73503b4aa026b	2	37.17	GiB	37.17 GiB	18.59	GiB	18.59 GiB	/data/CCBR/transfer/CCBR_1171_Copy/SCAF2125_D0_on_D8_2/outs/possorted_genome_bam.bam;/data/CCBR/transfer/CCBR_1171_GEO_out/D0_on_D8_2_possorted_genome_bam.bam	2023-10-09	_data_CCBR	bianjh	grubbers	tsv	/mnt/data/20231009/20231009._data_CCBR.bianjh.grubbers.tsv
eace1d99b66e208fa544d876bae3c714#d5786a96fed5bd473235aac3adcb33ea	2	33.76	GiB	33.76 GiB	16.88	GiB	16.88 GiB	/data/CCBR/transfer/CCBR_1171_Copy/SCAF2098_D0_on_D8/outs/possorted_genome_bam.bam;/data/CCBR/transfer/CCBR_1171_GEO_out/D0_on_D8_possorted_genome_bam.bam	2023-10-09	_data_CCBR	bianjh	grubbers	tsv	/mnt/data/20231009/20231009._data_CCBR.bianjh.grubbers.tsv
39a2f7f7fdbdac160c422e75b1efac03#668bd8d369fb59a94e6b09e03e265521	2	29.86	GiB	29.86 GiB	14.93	GiB	14.93 GiB	/data/CCBR/transfer/CCBR_1171_Copy/SCAF2114_D0_CAR_2/outs/possorted_genome_bam.bam;/data/CCBR/transfer/CCBR_1171_GEO_out/D0_CAR_2_possorted_genome_bam.bam	2023-10-09	_data_CCBR	bianjh	grubbers	tsv	/mnt/data/20231009/20231009._data_CCBR.bianjh.grubbers.tsv
f80e8860521296a71f9148ba0c8296f1#1a06cc07c8af48659bcb0bbb84dc703b	2	29.45	GiB	29.45 GiB	14.72	GiB	14.72 GiB	/data/CCBR/transfer/CCBR_1171_Copy/SCAF2094_D5_on_D8/outs/possorted_genome_bam.bam;/data/CCBR/transfer/CCBR_1171_GEO_out/D5_on_D8_possorted_genome_bam.bam	2023-10-09	_data_CCBR	bianjh	grubbers	tsv	/mnt/data/20231009/20231009._data_CCBR.bianjh.grubbers.tsv
6f804ae76448340622e64309fe00ed5f#fa5b3fd826fc4cdd315452c554540348	2	28.43	GiB	28.43 GiB	14.22	GiB	14.22 GiB	/data/CCBR/transfer/CCBR_1171_Copy/SCAF2121_D5_on_D8_2/outs/possorted_genome_bam.bam;/data/CCBR/transfer/CCBR_1171_GEO_out/D5_on_D8_2_possorted_genome_bam.bam	2023-10-09	_data_CCBR	bianjh	grubbers	tsv	/mnt/data/20231009/20231009._data_CCBR.bianjh.grubbers.tsv
8b33794ccbb451f9e0d2aabf12b9b483#84e5077e7fb19a0bd6a3a8c08bccc178	2	27.81	GiB	27.81 GiB	13.91	GiB	13.91 GiB	/data/CCBR/transfer/CCBR_1171_Copy/SCAF2071_D0_CAR/outs/possorted_genome_bam.bam;/data/CCBR/transfer/CCBR_1171_GEO_out/D0_CAR_possorted_genome_bam.bam	2023-10-09	_data_CCBR	bianjh	grubbers	tsv	/mnt/data/20231009/20231009._data_CCBR.bianjh.grubbers.tsv
e3647b7c1f04aa12732464838c999aee#ab2383633f069deaf66a67a9d3137980	2	27.22	GiB	27.22 GiB	13.61	GiB	13.61 GiB	/data/CCBR/transfer/CCBR_1171_Copy/SCAF2093_D0_on_D3/outs/possorted_genome_bam.bam;/data/CCBR/transfer/CCBR_1171_GEO_out/D0_on_D3_possorted_genome_bam.bam	2023-10-09	_data_CCBR	bianjh	grubbers	tsv	/mnt/data/20231009/20231009._data_CCBR.bianjh.grubbers.tsv
